sku,name,short_description,description,brand,mfn,stock,list_price,market_price,vendor_cost,special_price,weight,length,width,height,google_category,vendor_category,store_category,vendor_subcategory_1,vendor_subcategory_2,vendor_subcategory_3,vendor_subcategory_4,store_subcategory_1,store_subcategory_2,store_subcategory_3,store_subcategory_4,published,featured,visibility,vendor_id,meta_title,meta_description,meta_keywords
SKU-0001,Noise-Cancelling Smartwatch 1,A high-quality smartwatch with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Smartwatch 1 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,143,641.56,690.67,425.56,550.27,4.57,20.91,33.23,3.89,Electronics > Audio,Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,,1,1,public,VEND002,Noise-Cancelling Smartwatch 1 | InnoGadgets,Discover the new Noise-Cancelling Smartwatch 1 from InnoGadgets. Perfect for your needs.,"smartwatch, noise-cancelling, innogadgets, electronics"
SKU-0002,Lightweight Gaming Console 2,A high-quality gaming console with lightweight features.,This is a detailed description for the new Lightweight Gaming Console 2 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,9,1566.0,1804.05,1103.04,1430.6,3.19,39.45,13.68,4.91,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,,0,0,private,VEND004,Lightweight Gaming Console 2 | ElectroWorks,Discover the new Lightweight Gaming Console 2 from ElectroWorks. Perfect for your needs.,"gaming console, lightweight, electroworks, electronics"
SKU-0003,Wireless Smartphone 3,A high-quality smartphone with wireless features.,This is a detailed description for the new Wireless Smartphone 3 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,61,1204.36,1368.33,879.99,1067.45,3.97,37.14,36.32,11.81,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Laptops,Tablets,,Monitors,Laptops,Tablets,,1,1,public,VEND002,Wireless Smartphone 3 | TechCorp,Discover the new Wireless Smartphone 3 from TechCorp. Perfect for your needs.,"smartphone, wireless, techcorp, electronics"
SKU-0004,Noise-Cancelling Smartwatch 4,A high-quality smartwatch with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Smartwatch 4 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,4,737.76,854.57,520.26,649.22,1.14,15.64,12.16,7.16,Electronics > Audio,Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,,0,0,private,VEND002,Noise-Cancelling Smartwatch 4 | InnoGadgets,Discover the new Noise-Cancelling Smartwatch 4 from InnoGadgets. Perfect for your needs.,"smartwatch, noise-cancelling, innogadgets, electronics"
SKU-0005,Portable Drone 5,A high-quality drone with portable features.,This is a detailed description for the new Portable Drone 5 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,82,1286.94,1379.49,1005.75,1173.88,4.55,45.75,37.67,3.13,Electronics > Audio,Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,,1,0,public,VEND001,Portable Drone 5 | InnoGadgets,Discover the new Portable Drone 5 from InnoGadgets. Perfect for your needs.,"drone, portable, innogadgets, electronics"
SKU-0006,High-Resolution Gaming Console 6,A high-quality gaming console with high-resolution features.,This is a detailed description for the new High-Resolution Gaming Console 6 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,87,706.66,767.94,478.58,663.5,4.27,43.58,16.94,5.81,Electronics > Audio,Audio,Electronics,Headphones,Headphones,,,Headphones,Headphones,,,0,1,private,VEND001,High-Resolution Gaming Console 6 | InnoGadgets,Discover the new High-Resolution Gaming Console 6 from InnoGadgets. Perfect for your needs.,"gaming console, high-resolution, innogadgets, electronics"
SKU-0007,Noise-Cancelling Gaming Console 7,A high-quality gaming console with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Gaming Console 7 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,15,1633.57,1854.89,1009.76,1469.64,0.56,19.27,10.79,2.66,Electronics > Gaming,Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,,1,0,public,VEND002,Noise-Cancelling Gaming Console 7 | ElectroWorks,Discover the new Noise-Cancelling Gaming Console 7 from ElectroWorks. Perfect for your needs.,"gaming console, noise-cancelling, electroworks, electronics"
SKU-0008,Lightweight Smartwatch 8,A high-quality smartwatch with lightweight features.,This is a detailed description for the new Lightweight Smartwatch 8 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,11,630.41,736.55,396.07,542.23,2.81,38.64,39.24,14.24,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,1,1,public,VEND003,Lightweight Smartwatch 8 | ElectroWorks,Discover the new Lightweight Smartwatch 8 from ElectroWorks. Perfect for your needs.,"smartwatch, lightweight, electroworks, electronics"
SKU-0009,Sleek Headphones 9,A high-quality headphones with sleek features.,This is a detailed description for the new Sleek Headphones 9 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,107,183.96,213.58,135.94,165.3,2.79,29.8,6.69,6.11,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Laptops,Tablets,,Monitors,Laptops,Tablets,,0,0,private,VEND004,Sleek Headphones 9 | ElectroWorks,Discover the new Sleek Headphones 9 from ElectroWorks. Perfect for your needs.,"headphones, sleek, electroworks, electronics"
SKU-0010,Wireless Gaming Console 10,A high-quality gaming console with wireless features.,This is a detailed description for the new Wireless Gaming Console 10 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,100,325.27,390.21,203.25,280.63,2.42,18.66,22.56,14.43,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Laptops,Laptops,,Tablets,Laptops,Laptops,,1,1,public,VEND003,Wireless Gaming Console 10 | ElectroWorks,Discover the new Wireless Gaming Console 10 from ElectroWorks. Perfect for your needs.,"gaming console, wireless, electroworks, electronics"
